county,total_records_cleared,arrests_cleared,convictions_cleared,total_arrests,clearance_rate,clearance_vs_avg,rank_clearance,disposition_gap,disposition_vs_avg,rank_disposition,felony_total,misdemeanor_total,violent,property,drug,arrests_black,arrests_hispanic,arrests_white,arrests_other
ALAMEDA,464169,356875,107294,3060136,15.17,-10.93,56,17.2,-14.77,2,883652,2134817,200469,296029,259060,1303478,556091,978947,221620
ALPINE,1318,502,816,4447,29.64,3.54,17,32.0,0.03,32,1023,3403,273,365,187,55,207,3508,677
AMADOR,11181,8236,2945,54373,20.56,-5.54,48,20.8,-11.17,6,16521,37725,3534,3112,3944,1144,4832,46092,2305
BUTTE,163219,138276,24943,405391,40.26,14.16,3,41.0,9.03,50,90229,314451,24052,28396,18938,20706,44199,323235,17251
CALAVERAS,14213,10879,3334,68924,20.62,-5.48,47,24.7,-7.27,10,20693,48082,6507,5211,4551,907,5288,60351,2378
COLUSA,9800,7250,2550,51690,18.96,-7.14,53,26.5,-5.47,19,12641,38722,2680,3056,2474,1543,19790,28159,2198
CONTRA COSTA,425621,365490,60131,1384240,30.75,4.65,15,42.3,10.33,53,481739,892164,106858,166034,112824,367198,260300,679243,77499
DEL NORTE,13938,10367,3571,82930,16.81,-9.29,55,17.1,-14.87,1,22512,60190,7222,5617,4166,1033,4528,66106,11263
EL DORADO,56701,39475,17226,264053,21.47,-4.63,44,24.4,-7.57,9,74112,188392,20123,20181,15510,5427,23897,228068,6661
FRESNO,360687,304054,56633,2087183,17.28,-8.82,54,31.7,-0.27,29,601794,1439736,183059,169652,112513,266213,1173811,556829,90330
GLENN,13219,9396,3823,67240,19.66,-6.44,51,29.3,-2.67,24,17328,47088,4044,4625,4013,1109,19945,42784,3402
HUMBOLDT,85028,66247,18781,369140,23.03,-3.07,36,26.6,-5.37,20,78933,279079,21471,21416,18210,10188,17593,305032,36327
IMPERIAL,109302,84908,24394,335071,32.62,6.52,9,41.8,9.83,51,94567,238076,22556,31901,23996,13909,240014,71267,9881
INYO,12234,8576,3658,47700,25.65,-0.45,29,36.8,4.83,43,11824,35478,3514,3206,2320,444,6156,29430,11670
KERN,378948,273777,105171,1815633,20.87,-5.23,46,19.6,-12.37,4,553170,1219437,155492,172242,120075,227462,754635,772052,61484
KINGS,94258,83421,10837,367141,25.67,-0.43,28,40.6,8.63,47,76661,270950,22705,21405,10745,35424,202784,115256,13677
LAKE,36487,28602,7885,158825,22.97,-3.13,37,24.9,-7.07,13,41945,116583,12160,9106,8971,7084,19545,122016,10180
LASSEN,16487,12989,3498,52141,31.62,5.52,12,35.8,3.83,38,13014,38656,3904,3716,1942,1598,4013,41549,4981
LOS ANGELES,4127412,2647148,1480264,17211024,23.98,-2.12,33,21.7,-10.27,8,6151536,10771338,1752985,1955905,1570674,4265593,7866663,4284585,794183
MADERA,97950,62554,35396,242800,40.34,14.24,2,31.8,-0.17,30,66552,173948,20185,17229,11680,14079,146671,75918,6132
MARIN,79922,64031,15891,392077,20.38,-5.72,49,30.6,-1.37,26,81824,304997,21324,26439,17737,43914,63813,268656,15694
MARIPOSA,7189,4654,2535,29294,24.54,-1.56,31,25.9,-6.07,15,8221,20671,2497,1895,1699,310,2519,24470,1995
MENDOCINO,78543,65493,13050,220609,35.6,9.5,6,40.8,8.83,49,60215,158959,16552,16565,13922,4775,34010,160267,21557
MERCED,129816,113535,16281,604016,21.49,-4.61,43,44.4,12.43,54,154730,422562,44251,47410,27994,61498,309668,209747,23103
MODOC,6696,5403,1293,20890,32.05,5.95,10,36.7,4.73,42,6688,14012,2020,1667,990,184,2307,15827,2572
MONO,8786,5447,3339,21624,40.63,14.53,1,32.1,0.13,33,6723,14865,1964,2218,1343,264,3723,15558,2079
MONTEREY,264231,218024,46207,787048,33.57,7.47,7,34.7,2.73,37,196303,583180,61325,63476,35524,63311,439462,256350,27925
NAPA,55984,38629,17355,203072,27.57,1.47,21,28.6,-3.37,22,51035,151000,13199,13002,9889,10519,60859,125389,6305
NEVADA,40294,29398,10896,149385,26.97,0.87,24,34.3,2.33,36,37238,108623,8748,11339,7992,2306,8783,135413,2883
ORANGE,1296415,1071319,225096,4513406,28.72,2.62,19,32.8,0.83,35,1132814,3309361,253925,405301,305644,213933,1735243,2273145,291085
PLACER,111235,83675,27560,414712,26.82,0.72,26,29.1,-2.87,23,126508,285699,27812,37947,27101,18598,49479,330401,16234
PLUMAS,9858,6614,3244,45542,21.65,-4.45,42,30.9,-1.07,27,11965,33026,3631,3135,2363,1301,2264,39024,2953
RIVERSIDE,929020,775550,153470,2483589,37.41,11.31,5,40.4,8.43,46,804276,1641573,211048,242526,199508,311624,1039288,1055969,76708
SACRAMENTO,634174,530115,104059,2262751,28.03,1.93,20,32.1,0.13,33,828246,1421053,229404,248031,168878,623320,380520,1112553,146358
SAN BENITO,23589,17214,6375,87922,26.83,0.73,25,31.3,-0.67,28,22869,63915,7717,6038,3799,1036,58713,26330,1843
SAN BERNARDINO,1029966,878149,151817,3452670,29.83,3.73,16,36.2,4.23,41,1273502,2107763,338732,422208,294296,586732,1423408,1329410,113120
SAN DIEGO,1614407,1398034,216373,5149988,31.35,5.25,14,45.0,13.03,55,1401422,3628922,379101,445496,350030,857903,1537802,2474789,279494
SAN FRANCISCO,242188,211450,30738,1872185,12.94,-13.16,58,24.8,-7.17,11,732883,1133440,149487,166464,235031,723679,31047,890001,227458
SAN JOAQUIN,298731,246214,52517,1285313,23.24,-2.86,35,26.0,-5.97,16,411092,862853,114673,129184,73362,226843,454757,528001,75712
SAN LUIS OBISPO,158802,116665,42137,502360,31.61,5.51,13,29.4,-2.57,25,97920,401563,27100,30396,20006,20121,107034,361474,13731
SAN MATEO,227133,164932,62201,935412,24.28,-1.82,32,26.6,-5.37,20,245142,677449,61143,84523,58333,152105,283034,385327,114946
SANTA BARBARA,270409,202061,68348,1083044,24.97,-1.13,30,31.8,-0.17,30,184573,887978,52313,57739,39140,55420,405853,577476,44295
SANTA CLARA,718666,545837,172829,2757747,26.06,-0.04,27,21.5,-10.47,7,754345,1976425,197106,231239,186904,297604,1198341,1001354,260448
SANTA CRUZ,215795,184033,31762,645573,33.43,7.33,8,45.4,13.43,56,139195,503854,35599,40437,33953,23418,194870,412097,15188
SHASTA,108439,87248,21191,454056,23.88,-2.22,34,41.8,9.83,51,109363,323564,24925,34535,21934,16196,22823,388543,26494
SIERRA,1405,847,558,9496,14.8,-11.3,57,19.1,-12.87,3,2513,6978,607,833,440,56,403,8711,326
SISKIYOU,23684,19101,4583,103828,22.81,-3.29,40,39.1,7.13,45,28844,74784,8453,7990,4999,3568,7453,83842,8965
SOLANO,161185,139903,21282,735496,21.92,-4.18,41,20.1,-11.87,5,239765,488609,66354,76913,48496,241085,125055,321600,47756
SONOMA,236148,186089,50059,862670,27.37,1.27,22,25.7,-6.27,14,195396,662091,55312,55044,47249,46261,195180,586334,34895
STANISLAUS,218909,170678,48231,1097610,19.94,-6.16,50,26.2,-5.77,18,354813,730712,92014,105205,73896,74969,361403,622500,38738
SUTTER,54089,43927,10162,183142,29.53,3.43,18,50.6,18.63,57,50602,130867,14763,16952,7712,9118,47236,114247,12541
TEHAMA,29202,23834,5368,136724,21.36,-4.74,45,35.9,3.93,39,36737,98260,8921,9978,9787,2026,23264,107811,3623
TRINITY,7391,5280,2111,32207,22.95,-3.15,38,24.8,-7.17,11,12151,19637,2984,2486,3972,260,986,29614,1347
TULARE,391670,339386,52284,976196,40.12,14.02,4,51.5,19.53,58,275120,677941,81124,79602,56431,38148,594930,315154,27964
TUOLUMNE,22629,16445,6184,115742,19.55,-6.55,52,26.0,-5.97,16,30455,81598,6217,8227,6100,1160,7028,104456,3098
VENTURA,405402,334469,70933,1490096,27.21,1.11,23,35.9,3.93,39,325073,1116180,83572,100389,68128,74712,733317,648134,33933
YOLO,117038,99197,17841,368405,31.77,5.67,11,38.7,6.73,44,110691,253031,26171,33009,22894,31294,114430,204516,18165
YUBA,44508,35737,8771,195031,22.82,-3.28,39,40.6,8.63,47,56499,136821,15752,16729,10134,11901,28020,147335,7775
